ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-22,-9613.28757419415,-130813.51966926293,88147.58002910252,-9613.28757419415,-9613.28757419415,-11063.558307283729,-11063.558307283729,-11063.558307283729,-11063.558307283729,-11063.558307283729,-11063.558307283729,0.0,0.0,0.0,-20676.84588147788
2020-01-23,-6933.408775460781,-120964.60853175973,97463.54389988945,-6933.408775460781,-6933.408775460781,-1117.5438632529865,-1117.5438632529865,-1117.5438632529865,-1117.5438632529865,-1117.5438632529865,-1117.5438632529865,0.0,0.0,0.0,-8050.952638713768
2020-01-24,-4253.529976727412,-102837.90238510357,108029.26400847404,-4253.529976727412,-4253.529976727412,10080.978736662462,10080.978736662462,10080.978736662462,10080.978736662462,10080.978736662462,10080.978736662462,0.0,0.0,0.0,5827.4487599350505
2020-01-25,-1573.651177994042,-85839.13496806547,125007.1684955317,-1573.651177994042,-1573.651177994042,13750.32687136702,13750.32687136702,13750.32687136702,13750.32687136702,13750.32687136702,13750.32687136702,0.0,0.0,0.0,12176.675693372978
2020-01-26,1106.227620739326,-96188.32281392305,112531.3210993934,1106.227620739326,1106.227620739326,7298.791977867196,7298.791977867196,7298.791977867196,7298.791977867196,7298.791977867196,7298.791977867196,0.0,0.0,0.0,8405.019598606523
2020-01-27,3786.106419472695,-103149.2166630148,111770.52775405142,3786.106419472695,3786.106419472695,-2102.7554546352603,-2102.7554546352603,-2102.7554546352603,-2102.7554546352603,-2102.7554546352603,-2102.7554546352603,0.0,0.0,0.0,1683.3509648374347
2020-01-28,6465.985218206066,-123463.40214857079,91691.22273663376,6465.985218206066,6465.985218206066,-16846.239960714924,-16846.239960714924,-16846.239960714924,-16846.239960714924,-16846.239960714924,-16846.239960714924,0.0,0.0,0.0,-10380.254742508858
2020-01-29,9145.861273026458,-104402.87696957705,105736.80899116951,9145.861273026458,9145.861273026458,-11063.558307285912,-11063.558307285912,-11063.558307285912,-11063.558307285912,-11063.558307285912,-11063.558307285912,0.0,0.0,0.0,-1917.697034259454
2020-01-30,11825.737327846851,-95679.99247413542,118088.04334745416,11825.737327846851,11825.737327846851,-1117.5438632524324,-1117.5438632524324,-1117.5438632524324,-1117.5438632524324,-1117.5438632524324,-1117.5438632524324,0.0,0.0,0.0,10708.193464594418
2020-01-31,14505.613382667247,-84294.7427980581,135786.02013966022,14505.613382667247,14505.613382667247,10080.978736637344,10080.978736637344,10080.978736637344,10080.978736637344,10080.978736637344,10080.978736637344,0.0,0.0,0.0,24586.59211930459
